"Address","Street","Site ID","Latitude","Longitude","Inspection Date","Remote ID","Site Comments","Site Last Changed By","Site Change Date","Site Change Time","Species","Diameter","Aldermanic District","ArchivedSites_Remote_ID","Condition","DRG Updated","Forestry District","Grate","Growthspace Size","Overhead Utilities","Parcel Number","Primary Maintenance","Property Use","Solid Waste District SubArea","Status","TIF","TRAQ-Consequence","TRAQ-Likelihood of Failure","TRAQ-Likelihood of Failure and Impact","TRAQ-Likelihood of Impacting Target","TRAQ-Risk Rating","Terrace Support System","Tree Guard","Utilities Present"
6,"Aaron Ct",452622,43.0700249254,-89.2895754962,"10/19/2009","Tree_049601","","Jacob Hazek (DRG)","12/11/2023","09:01:44","Norway Maple (Acer platanoides)",14,16,"79676","Fair","Yes","20","N/A","Open","Not Present","071015118253","Unassigned","Single family","1-61","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
9,"Aaron Ct",452621,43.0698264946,-89.28940638,"10/19/2009","Tree_049599","","Jacob Hazek (DRG)","12/11/2023","09:03:03","Norway Maple (Acer platanoides)",14,16,"79674","Fair","Yes","20","N/A","Open","Not Present","071015118279","Unassigned","Single family","1-61","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
10,"Aaron Ct",452626,43.0699369912,-89.2893540041,"10/19/2009","Tree_049617","","Jacob Hazek (DRG)","12/11/2023","09:02:18","Norway Maple (Acer platanoides)",14,16,"79675","Fair","Yes","20","N/A","Open","Not Present","071015118261","Unassigned","Single family","1-61","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1801,"Aberg Ave",628578,43.1141560616,-89.3605634026,"1/17/2024","KySc20240117104738","","Kyle Schansberg (DRG)","1/17/2024","10:47:56","Crab Apple Spp. (Malus x Species)",3,12,"","Good","Yes","6","N/A","6'-7'","Present","081031300883","Unassigned",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1801,"Aberg Ave",628583,43.1141573108,-89.3608491879,"1/17/2024","KySc20240117104808","","Kyle Schansberg (DRG)","1/17/2024","10:48:38","Cherry and Plum Spp. (Prunus Species)",3,12,"","Fair","Yes","6","N/A","6'-7'","Present","081031300883","Unassigned",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1801,"Aberg Ave",628588,43.1141591847,-89.3611221387,"1/17/2024","KySc20240117104908","","Kyle Schansberg (DRG)","1/17/2024","10:49:23","Japanese Tree Lilac (Syringa reticulata)",2,12,"","Good","Yes","6","N/A","6'-7'","Present","081031300883","Unassigned",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1801,"Aberg Ave",628593,43.1141604339,-89.3613061023,"1/17/2024","KySc20240117104940","","Kyle Schansberg (DRG)","1/17/2024","10:50:10","Vacant (Vacant)",0,12,"","N/A","Yes","6","N/A","6'-7'","Present","081031300883","Plant Tree",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1801,"Aberg Ave",628598,43.114163557,-89.3617587384,"1/17/2024","KySc20240117105033","","Kyle Schansberg (DRG)","1/17/2024","10:50:47","Vacant (Vacant)",0,12,"","N/A","Yes","6","N/A","6'-7'","Present","081031300883","Plant Tree",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1801,"Aberg Ave",628602,43.1141641816,-89.3619324343,"1/17/2024","KySc20240117105054","","Kyle Schansberg (DRG)","1/17/2024","10:51:08","Vacant (Vacant)",0,12,"","N/A","Yes","6","N/A","6'-7'","Present","081031300883","Plant Tree",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1801,"Aberg Ave",628608,43.114163557,-89.3620924399,"1/17/2024","KySc20240117105118","","Kyle Schansberg (DRG)","1/17/2024","10:51:30","Vacant (Vacant)",0,12,"","N/A","Yes","6","N/A","6'-7'","Present","081031300883","Plant Tree",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1801,"Aberg Ave",628658,43.1128529284,-89.3606687246,"1/17/2024","KySc20240117132207","","Kyle Schansberg (DRG)","1/17/2024","13:22:49","Vacant (Vacant)",0,12,"","N/A","Yes","6","N/A","Open","Present","081031300883","Plant Tree",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1801,"Aberg Ave",628664,43.1128560516,-89.3609878802,"1/17/2024","KySc20240117132255","","Kyle Schansberg (DRG)","1/17/2024","13:23:12","Vacant (Vacant)",0,12,"","N/A","Yes","6","N/A","Open","Present","081031300883","Plant Tree",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1801,"Aberg Ave",628667,43.1128566762,-89.3611598648,"1/17/2024","KySc20240117132318","","Kyle Schansberg (DRG)","1/17/2024","13:23:31","Vacant (Vacant)",0,12,"","N/A","Yes","6","N/A","Open","Present","081031300883","Plant Tree",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1814,"Aberg Ave",421823,43.1142854704,-89.3607121231,"8/31/2009","Tree_018792","","Kyle Schansberg (DRG)","1/17/2024","07:58:30","Norway Maple (Acer platanoides)",15,12,"30257","Fair","Yes","4","N/A","6'-7'","Present","081031227053","Unassigned","3 unit Apartment","9-125","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","Electric"
1818,"Aberg Ave",421779,43.1142854014,-89.3605838698,"8/31/2009","Tree_018748","","Kyle Schansberg (DRG)","1/17/2024","07:59:26","Norway Maple (Acer platanoides)",19,12,"30256","Fair","Yes","4","N/A","6'-7'","Present","081031227061","Unassigned","Single family","9-125","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","Electric"
1818,"Aberg Ave",422027,43.1144012438,-89.360360731,"9/2/2009","Tree_019078","","Kyle Schansberg (DRG)","1/17/2024","08:00:09","Sugar Maple (Acer saccharum)",28,12,"30813","Fair","Yes","4","N/A","8'+","Present","081031227061","Unassigned","Single family","9-125","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1818,"Aberg Ave",422750,43.1146003403,-89.360366707,"9/2/2009","Tree_019060","","Kyle Schansberg (DRG)","1/17/2024","08:00:49","Sugar Maple (Acer saccharum)",29,12,"30810","Fair","Yes","4","N/A","8'+","Present","081031227061","Unassigned","Single family","9-125","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1859,"Aberg Ave",628556,43.1141454432,-89.3594288175,"1/17/2024","KySc20240117104337","","Kyle Schansberg (DRG)","1/17/2024","10:44:10","Japanese Tree Lilac (Syringa reticulata)",2,12,"","Good","Yes","6","N/A","6'-7'","Present","081031300750","Unassigned",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1859,"Aberg Ave",628558,43.1141448185,-89.3595340618,"1/17/2024","KySc20240117104422","","Kyle Schansberg (DRG)","1/17/2024","10:44:41","Crab Apple Spp. (Malus x Species)",4,12,"","Fair","Yes","6","N/A","6'-7'","Present","081031300750","Unassigned",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1859,"Aberg Ave",628561,43.114147317,-89.35980359,"1/17/2024","KySc20240117104504","","Kyle Schansberg (DRG)","1/17/2024","10:45:33","Japanese Tree Lilac (Syringa reticulata)",2,12,"","Good","Yes","6","N/A","6'-7'","Present","081031300750","Unassigned",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1859,"Aberg Ave",628565,43.1141454432,-89.3599028448,"1/17/2024","KySc20240117104544","","Kyle Schansberg (DRG)","1/17/2024","10:45:58","Cornelian Cherry (Cornus mas)",1,12,"","Good","Yes","6","N/A","6'-7'","Present","081031300750","Unassigned",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
